# {"arm": "left", "target_base_y": 0.086332, "hover_height_m": 0.12, "y_tolerance_m": 0.005, "grid_x_min": -0.256004, "grid_z_min": -0.321837, "recorded_at": "2026-04-14T17:39:45"}
cam_x,cam_y,cam_z,base_x,base_y,base_z,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-0.000317,-0.074934,0.397014,-0.118903,0.086727,-0.283617,2474,2369,1695,3198,2494,1994
0.000112,-0.073858,0.397839,-0.119762,0.085696,-0.283146,2472,2369,1703,3198,2495,1994
0.000127,-0.073236,0.396785,-0.119135,0.085000,-0.283935,2464,2371,1707,3199,2495,1994
-0.000547,-0.070917,0.392000,-0.115696,0.082379,-0.287101,2457,2371,1708,3198,2495,1994
0.001372,-0.069722,0.407719,-0.126873,0.082218,-0.275820,2453,2371,1706,3198,2495,1994
0.003650,-0.069569,0.403834,-0.126289,0.081705,-0.280259,2453,2374,1695,3198,2495,1994
0.003553,-0.070702,0.403150,-0.125778,0.082790,-0.280827,2452,2374,1695,3197,2495,1994
0.005225,-0.075377,0.426445,-0.141335,0.089023,-0.263902,2450,2374,1694,3197,2495,1994
0.006566,-0.072325,0.402909,-0.127988,0.084275,-0.282992,2449,2374,1694,3197,2495,1994
0.006564,-0.072573,0.401141,-0.126898,0.084398,-0.284400,2449,2374,1695,3197,2495,1994
0.006487,-0.072786,0.402898,-0.127913,0.084737,-0.282988,2449,2374,1695,3197,2495,1994
0.006497,-0.075720,0.421848,-0.139514,0.088992,-0.268324,2449,2374,1695,3197,2495,1994
0.006568,-0.071941,0.401859,-0.127350,0.083818,-0.283788,2449,2374,1695,3197,2495,1994
0.006956,-0.071891,0.401055,-0.127164,0.083697,-0.284654,2449,2374,1695,3197,2496,1994
0.007219,-0.072838,0.403942,-0.129131,0.084834,-0.282620,2450,2374,1696,3197,2500,1994
0.006958,-0.072572,0.401171,-0.127228,0.084384,-0.284618,2450,2374,1696,3197,2501,1994
0.006503,-0.075374,0.418505,-0.137471,0.088412,-0.270929,2450,2374,1696,3197,2501,1994
0.005798,-0.072149,0.401952,-0.126797,0.084062,-0.283260,2450,2373,1697,3197,2502,1994
0.005665,-0.072783,0.405125,-0.128630,0.084922,-0.280733,2450,2373,1696,3197,2507,1994
0.006130,-0.073131,0.405138,-0.129002,0.085252,-0.281035,2450,2369,1695,3197,2526,1994
0.006497,-0.077111,0.421848,-0.139496,0.090379,-0.268433,2449,2363,1694,3197,2558,1994
0.007722,-0.076264,0.410302,-0.133388,0.088676,-0.278197,2449,2360,1694,3197,2589,1994
0.007411,-0.076859,0.397088,-0.125025,0.088353,-0.288445,2458,2367,1706,3205,2505,1994
-0.004723,-0.069898,0.406479,-0.121298,0.082541,-0.273076,2469,2376,1710,3205,2439,1994
-0.015639,-0.070187,0.406325,-0.112583,0.083239,-0.266532,2504,2337,1794,3185,2595,1994
-0.004864,-0.068686,0.424285,-0.132131,0.082589,-0.258891,2462,2337,1794,3173,2548,1994
-0.004734,-0.069688,0.425771,-0.133132,0.083688,-0.257881,2461,2337,1796,3173,2555,1994
-0.004883,-0.069857,0.411701,-0.124377,0.082874,-0.268868,2457,2305,1824,3173,2553,1994
-0.005560,-0.071241,0.411868,-0.123928,0.084291,-0.268432,2457,2293,1840,3173,2540,1994
-0.008993,-0.071362,0.406706,-0.118048,0.084181,-0.270397,2456,2265,1880,3166,2517,1994
-0.012299,-0.073926,0.418023,-0.122351,0.087659,-0.259675,2456,2248,1903,3152,2514,1994
-0.015451,-0.073658,0.416323,-0.118823,0.087394,-0.259060,2456,2232,1926,3131,2516,1994
-0.016252,-0.073476,0.412932,-0.116112,0.087006,-0.261221,2456,2219,1947,3105,2516,1994
-0.017486,-0.074218,0.418043,-0.118264,0.088152,-0.256504,2456,2209,1967,3077,2520,1994
-0.017748,-0.074092,0.418893,-0.118581,0.088096,-0.255666,2456,2199,1988,3049,2531,1994
-0.017483,-0.073823,0.418818,-0.118748,0.087812,-0.255865,2456,2191,2009,3023,2542,1994
-0.016296,-0.072095,0.411837,-0.115422,0.085554,-0.261946,2456,2183,2029,2999,2546,1994
-0.016129,-0.071507,0.418300,-0.119528,0.085415,-0.256919,2457,2174,2047,2983,2548,1994
-0.016136,-0.070042,0.417234,-0.118887,0.083880,-0.257638,2457,2165,2061,2973,2547,1994
-0.016820,-0.069347,0.417192,-0.118330,0.083210,-0.257196,2457,2156,2072,2968,2547,1994
-0.018237,-0.070086,0.423525,-0.121089,0.084447,-0.251406,2457,2146,2079,2966,2547,1994
-0.019257,-0.070011,0.422754,-0.119811,0.084357,-0.251383,2457,2138,2084,2966,2547,1994
-0.021146,-0.074245,0.441983,-0.130067,0.090001,-0.235438,2456,2130,2088,2968,2547,1994
-0.021017,-0.071511,0.418587,-0.115846,0.085627,-0.253700,2456,2124,2091,2969,2551,1994
-0.021950,-0.073407,0.422509,-0.117491,0.087829,-0.250194,2456,2119,2095,2971,2553,1994
-0.022842,-0.074988,0.423620,-0.117450,0.089517,-0.248898,2456,2115,2101,2971,2550,1994
-0.023930,-0.075191,0.421992,-0.115588,0.089647,-0.249528,2457,2111,2111,2971,2547,1994
-0.029967,-0.074895,0.429554,-0.115468,0.090115,-0.239860,2460,2090,2146,2972,2547,1994
-0.036460,-0.072456,0.425215,-0.107710,0.087629,-0.239101,2460,2050,2191,2972,2547,1994
-0.107432,-0.075438,0.395980,-0.033703,0.091282,-0.218848,2677,1954,2277,3020,2667,1994
-0.107570,-0.074777,0.400320,-0.036265,0.090933,-0.215298,2677,1969,2274,3019,2666,1994
-0.106287,-0.073691,0.395355,-0.034245,0.089453,-0.219902,2677,1971,2274,3014,2667,1994
-0.105660,-0.073494,0.396121,-0.035213,0.089285,-0.219669,2677,1972,2274,3008,2668,1994
-0.105300,-0.071838,0.395989,-0.035437,0.087612,-0.219862,2674,1972,2275,2992,2668,1994
-0.104643,-0.071945,0.396660,-0.036366,0.087740,-0.219746,2673,1972,2276,2986,2669,1994
-0.102926,-0.073773,0.398335,-0.038726,0.089614,-0.219624,2672,1970,2280,2979,2669,1994
-0.102343,-0.073364,0.395317,-0.037340,0.088972,-0.222322,2673,1970,2283,2979,2669,1994
-0.102025,-0.072941,0.395414,-0.037656,0.088544,-0.222407,2674,1970,2285,2979,2669,1994
-0.102908,-0.071883,0.394288,-0.036281,0.087445,-0.222669,2675,1970,2287,2979,2669,1994
-0.103591,-0.071372,0.395111,-0.036253,0.087020,-0.221562,2675,1970,2287,2979,2669,1994
-0.103849,-0.070676,0.394853,-0.035900,0.086318,-0.221552,2675,1970,2287,2979,2668,1994
-0.105180,-0.071418,0.399995,-0.037997,0.087470,-0.216752,2674,1970,2287,2979,2666,1994
-0.102386,-0.070031,0.390340,-0.034294,0.085302,-0.225946,2674,1970,2287,2979,2666,1994
